Variable,Table,Key,Dataset,MMRF Variable Name,Description,HIPAA or Other Identified Data,Data Type,MMRF Values,CoMMpass Note,caDSR,Data Standard,CoMMpass Source Table Variable,CoMMpass Subcohort,Additional Information,Constraint,GDC Variable,GDC Values,GDC Required,,
9,signs_symptoms,no,commpass,spinal_cord_compression,"The subject has evidence of a sign or symptom related to myeloma, specifically, spinal cord compression.",no,enum,yes no not_reported,,not applicable,not applicable,Table: SYMPTOMS.csv| Variable  SS_SPINALCORDCOM,one,,,not applicable,not applicable,not applicable,,
10,signs_symptoms,no,commpass,bone_pain,"The subject has evidence of a sign or symptom related to myeloma, specifically,  bone pain.",no,enum,yes no not_reported,,not applicable,not applicable,Table: SYMPTOMS.csv| Variable SS_BONEPAIN,one,,,not applicable,not applicable,not applicable,,
11,signs_symptoms,no,commpass,fatigue,"The subject has evidence of a sign or symptom related to myeloma, specifically, fatigue.",no,enum,yes no not_reported,,not applicable,not applicable,Table: SYMPTOMS.csv| Variable SS_FATIGUE,one,,,not applicable,not applicable,not applicable,,
12,signs_symptoms,no,commpass,hypercalcemia,"The subject has evidence of a sign or symptom related to myeloma, specifically, hypercalcemia with a corrected calcium > 11.5 mg/dl.",no,boolean,yes no,,not applicable,not applicable,Table: SYMPTOMS.csv| Variable SS_HYPERCALCEMIA,one,,,not applicable,not applicable,not applicable,,
13,signs_symptoms,no,commpass,renal_insufficiency,"The subject has evidence of a sign or symptom related to myeloma, specifically, renal insufficiency.",no,boolean,yes no,,not applicable,not applicable,Table: SYMPTOMS.csv| Variable SS_RENALINSUFFIC,one,,,not applicable,not applicable,not applicable,,
14,signs_symptoms,no,commpass,anemia,"The subject has evidence of a sign or symptom related to myeloma, specifically, anemia.",no,boolean,yes no,,not applicable,not applicable,Table: SYMPTOMS.csv| Variable SS_ANEMIAHEMOGLO,one,,,not applicable,not applicable,not applicable,,
15,signs_symptoms,no,commpass,lytic_bone_lesion,"The subject has evidence of a sign or symptom related to myeloma, specifically, lytic bone lesion(s).",no,boolean,yes no,,not applicable,not applicable,Table: SYMPTOMS.csv| Variable SS_BONELESIONSLY,one,,,not applicable,not applicable,not applicable,,
16,signs_symptoms,no,commpass,bone_lesion,"The subject has evidence of a sign or symptom related to myeloma, specifically,  bone lesions with osteoporosis with compression fractures.",no,boolean,yes no,,not applicable,not applicable,Table: SYMPTOMS.csv| Variable SS_BONELESIONSOS,one,,,not applicable,not applicable,not applicable,,
17,signs_symptoms,no,commpass,soft_tissue_plasmacytoma_single,"The subject has evidence of a sign or symptom related to myeloma, specifically, a single soft tissue plasmacytoma.",no,boolean,yes no,,not applicable,not applicable,Table: SYMPTOMS.csv | Variable SS_SOFTTISSUEPLA,one,,,not applicable,not applicable,not applicable,,
18,signs_symptoms,no,commpass,soft_tissue_plasmacytoma_multi,"The subject has evidence of a sign or symptom related to myeloma, specifically, multiple soft tissue plasmacytomas.",no,boolean,yes no,,not applicable,not applicable,Table: SYMPTOMS.csv | Variable SS_OFTTISSUEPLAS,one,,,not applicable,not applicable,not applicable,,
19,signs_symptoms,no,commpass,soft_tissue_plasmacytoma_found_ct_mri,Indication that a soft tissue plasmacytomas was found by CT or MRI since the prior study visit.,no,boolean,yes no,,not applicable,not applicable,Table SOFT_TISSUE.csv | Variable ST_WEREANYSOFTTI,,,,,,,,
20,signs_symptoms,no,commpass,days_to_assessment_by_ct_mri,"Number of days between the date of imaging test and the index date. In a de-identified dataset, this variable will help with sequencing events. ",no,integer,,,,,,,,,,,,,
21,signs_symptoms,no,commpass,year_of_assessment_by_ct_mri,"Year component the date imaging scan during the course of the study. In a de-identified dataset, this variable will help with sequencing events. ",no,integer four digit,,,,,,,,,,,,,
23,signs_symptoms,no,commpass,plasmacytoma_number,By mri/ct the number of plasmacytoma noted.,no,boolean,yes no,,not applicable,not applicable,Table SOFT_TISSUE.csv | Variable ST_INCREASEINNUM ,,,,,,,,
24,signs_symptoms,no,commpass,plasmacytoma_change,By mri/ct the existing plasmacytoma a change was noted from prior assessment.,no,boolean,yes no,,not applicable,not applicable,,,,,,,,,
25,signs_symptoms,no,commpass,plasmacytoma_size_increase,By mri/ct the existing plasmacytoma increased in number from prior assessment.,no,boolean,yes no,,not applicable,not applicable,,,,,,,,,
26,signs_symptoms,no,commpass,plasmacytoma_number_increase,By mri/ct the existing plasmacytoma increased in size from prior assessment.,no,boolean,yes no,,not applicable,not applicable,,,,,,,,,
27,signs_symptoms,no,commpass,recurrent_bacteria_infection,"The subject has evidence of a sign or symptom related to myeloma, specifically, recurrent bacteria infection at the time of the visit.",no,boolean,yes no,,not applicable,not applicable,Table: SYMPTOMS.csv| Variable SS_RECURRENTBACT,one,,not applicable,not applicable,not applicable,,,
28,signs_symptoms,no,commpass,symptomatic_hyperviscosity,"The subject has evidence of a sign or symptom related to myeloma, specifically, symptomatic hyperviscosity at the time of the visit.",no,boolean,yes no,,not applicable,not applicable,Table: SYMPTOMS.csv| Variable  SS_SYMPTOMATICHY,one,,not applicable,not applicable,not applicable,,,
29,signs_symptoms,no,commpass,amyloidosis,"The subject has evidence of a sign or symptom related to myeloma, specifically, amyloidosis.",no,boolean,yes no,,not applicable,not applicable,Table: SYMPTOMS.csv| Variable  SS_AMYLOIDOSIS,one,,not applicable,not applicable,not applicable,,,
30,signs_symptoms,no,commpass,other_diagnosis,"The subject has evidence of a sign or symptom related to myeloma, another condition not mentioned.",no,boolean,yes no,,not applicable,not applicable,Table: SYMPTOMS.csv| Variable  SS_OTHER,one,,not applicable,not applicable,not applicable,,,
31,signs_symptoms,no,commpass,other_specify,"Additional information for other variables, if available, especially, ss_other.",no,string text,,Text entries were harmonized across project.,not applicable,not applicable,Table: SYMPTOMS.csv| Variable  SS_SPECIFY,one,,,,,,,
1,labs,primary,yes,labs_id,Unique id for labs table,no,string,example: mmrf_1007-mmrf_commpass-l1,"This is a composite primary key based on a combination of public_id, project_id, and lab count.",not applicable,,derived for dataset,"one,two","MMRF created for this dataset 
",not null,,not applicable,not applicable,,
2,labs,foreign,yes,public_id,MMRF subject identifier,no,string,example: mmrf_0001,"in the format: ""mmrf_"" followed by a four digit integer. Example: mmrf_0001",not applicable,,center,"one,two","MMRF created for this dataset 
",not null,project_id,not applicable,yes,,
3,labs,foreign,commpass,project_id,The project's source name that is used as a primary key for the project table and as a foreign key for other tables.,no,string,mmrf_commpass,"The MMRF CoMMpass project will use ""mmrf_commpass"" to designate the project.",not applicable,not applicable,applied,"one, two","MMRF created for this dataset 
",not null,project_id,not applicable,no,,
4,labs,no,yes,lab_group,Category of laboratory test.,no,enum,"cbc_labs
serum_chemistry
serum_mm_labs
urine_immunology_labs",,,,"cbc_labs
serum_chemistry
serum_mm_labs
urine_immunology_labs","one,two",,,,not applicable,not applicable,,
5,labs,no,yes,days_to_specimen_collection,"Number of days between the subject's lab specimen collection date and the index date. In a de-identified dataset, this variable will help with sequencing events. ",no,integer,,,,,"cbc_labs
serum_chemistry
serum_mm_labs
urine_immunology_labs","one,two",,,,not applicable,not applicable,,
6,labs,no,yes,year_of_specimen_collection,"Year component of the subject's specimen collection  date. In a de-identified dataset, this variable will help with sequencing events. ",no,integer 4 digit,,range 2010 - 2023,,,"cbc_labs
serum_chemistry
serum_mm_labs
urine_immunology_labs","one,two",,,,not applicable,not applicable,,
7,labs,no,yes,date_of_specimen_collection,The subject's specimen collection  date. This date should be used internally at the MMRF and never shared.,yes,date,,The lab test collection date is derived from the from a study date prior to the receipt of drug therapy and following informed consent data.,,,"cbc_labs
serum_chemistry
serum_mm_labs
urine_immunology_labs","one,two",,,,not applicable,not applicable,,
8,labs,no,yes,baseline_lab,Indicator that the specimen was collected prior to the first therapy for NDMM.,no,boolean,"yes
no",All subcohort=2 have baseline values only.,,,"cbc_labs
serum_chemistry
serum_mm_labs
urine_immunology_labs",,,,,,,,
9,labs,no,yes,lab_test_specimen,,no,enum,"peripheral_blood
urine",,,,"cbc_labs
serum_chemistry
serum_mm_labs
urine_immunology_labs",,,,,,,,
10,labs,no,yes,lab_test,,no,enum,"24hr_serum_m_protein
24hr_tot_protein
abs_neut
albumin
beta_2_microglobulin
bun
c_reactive_protein
calcium
creatinine
creatinine_clearanc
glucose
hemoglobin
iga
igd
ige
igg
igm
lactate_dehydrogenase_ldh
platelet
serum_kappa_free_light_chains
serum_lambda_free_light_chains
serum_protein_electrophoresis_m_protein
total_protein
wbc",,,LOINC,"cbc_labs
serum_chemistry
serum_mm_labs
urine_immunology_labs","one,two",,,,not applicable,not applicable,,
11,labs,no,yes,lab_test_result,Numeric lab result value,no,numeric,,,,,"cbc_labs
serum_chemistry
serum_mm_labs
urine_immunology_labs","one,two",,,not applicable,not applicable,not applicable,,
12,labs,no,yes,lab_result_test_unit,,no,enum,"/mcl | /nl | 24hrcells/mcl  | d/l | g/24hr | g/dl | g/l | g/v | gl/l | u/dl | u/l | iu/ml | iu/nl | ku/l | l | mcg/dl | mcg/l | mcg/ml | mg/100ml | mg/24hr | mg/dL | mg/dl_24 | mg/g | mg/interval | mg/l | mg/ml | mg/tv | ml | mmol/l | ng/ml | not_applicable | not_reported | percent | u/l | umol/l
x10^12/mcl
x10^3/mcl
x10^3/mm
x10^3/mm2
x10^3/mm3
x10^9/l",See lab_units tab for specification of values.,,,"cbc_labs
serum_chemistry
serum_mm_labs
urine_immunology_labs","one,two",,,not applicable,not applicable,not applicable,,
1,sample,primary,commpass,sample_id,Unique id for sample table,no,string,example: mmrf_1007-mmrf_commpass-sam1,"This is a composite primary key based on a combination of public_id, project_id, and sample count.",not applicable,not applicable,derived,"one,two","MMRF created for this dataset 
",not null,not applicable,not applicable,not applicable,,
2,sample,foreign,commpass,public_id,MMRF subject identifier,no,string,example: mmrf_0001,"in the format: ""mmrf_"" followed by a four digit integer. Example: mmrf_0001",not applicable,not applicable,Subcohorts One and Two: Table: D_PT.csv variable: subject_id,"one,two","MMRF created for this dataset 
",not null,submitter_id,string,yes,,
3,sample,foreign,commpass,project_id,The project's source name that is used as a primary key for the project table and as a foreign key for other tables.,no,string,mmrf_commpass,"The MMRF CoMMpass project will use ""mmrf_commpass"" to designate the project.",not applicable,not applicable,applied,"one, two","MMRF created for this dataset 
",not null,project_id,not applicable,no,,
4,sample,no,commpass,institution_subject_id,Identifier of the subject and institution through which the subject was enrolled.,no,string ,,"A combination identifier with the institution identifier with the subject identifier separated by a ""-"".",not applicable,not applicable,Not applicable; represents the MMRF CoMMpass study.,"one, two",,not null,not applicable,not applicable,not applicable,,
5,sample,no,commpass,sample_visit_id,A number describing the sequence in which the samplewas collected.,no,string,example: mmrf_0001_1,"An ""_"" and a number is appended to the public_id with the baseline visit for the study having an  ""_1"". The appended number increases with each subsequent visit resulting in a biospecimen collected from the subject. As such, subsequent visits with samples do not have the same type of visit [restaging, relapse, response]",not applicable,not applicable,applied,"one, two",,not null,sample_ordinal,integer,no,,
6,sample,no,commpass,sample_visit_type,Identifier of based on the combination of sample_visit_id and specimen_type.,no,string,example: mmrf_1017_1_bma,A combination identifier with the institution identifier with sample_visit_id and specimen_type .,not applicable,not applicable,Not applicable; represents the MMRF CoMMpass study.,"one, two",,not null,not applicable,not applicable,not applicable,,
7,sample,no,commpass,cancer_diagnosis,The identifier for the subject level cancer diagnosis corresponding to the diagnosis_is_primary_disease=1  found in the diagnosis table.,no,integer,10,10: active multiple myeloma diagnosis,,,,"one, two",,not null,not applicable,not applicable,not applicable,,
8,sample,no,commpass,preservation_method,Text term that represents the method used to preserve the sample.,no,enum,"cryopreserved
edta
ffpe
fresh
frozen
oct
snap_frozen
unknown
not_reported","Since this data was not collected, ""not_reported"" is saved for this field.",,,,"one, two",,,preservation_method,"Cryopreserved
EDTA
FFPE
Fresh
Frozen
OCT
Snap Frozen
Unknown
Not Reported",yes,,
9,sample,no,commpass,freezing_method,"The method used for freezing the sample, includes -20C, -80C, dry ice, liquid nitrogen vapor.",no,string ,not_reported,"Since this data was not collected, ""not_reported"" is saved for this field.",5432607,GDC,,,,,freezing_method,string,no,,
10,sample,no,commpass,specimen_type,"The type of a material sample taken from a biological entity for testing, diagnostic, propagation, treatment or research purposes. This includes particular types of cellular molecules, cells, tissues, organs, body fluids, embryos, and body excretory substances.",no,enum,see sample details tab,,C70713,NCIt,,"one, two",,,specimen_type,see sample details tab,yes,,
11,sample,no,commpass,tissue_type,Text term that represents a description of the kind of tissue collected with respect to disease status or proximity to tumor tissue.,no,enum,not_applicable,,,,,"one, two",,,tissue_type,"Abnormal
Normal
Peritumoral
Tumor
Unknown
Not Reported",yes,,
,sample,no,commpass,tumor_descriptor,Text term that represents the name of the organ or tissue site of the submitted sample.,no,enum,not_applicable,,,,,"one, two",,,tumor_descriptor,"Metastatic
New Primary
NOS
Premalignant
Primary
Recurrence
Xenograft
Unknown
Not Reported
Not Applicable",yes,,
12,sample,no,commpass,biospecimen_anatomic_site,Text that describes the kind of disease present in the tumor specimen as related to a specific timepoint.,no,enum,not_applicable,,,,,"one, two",,,biospecimen_anatomic_site,see sample details tab,no,,
13,sample,no,commpass,days_to_sample_procurement,The number of days from the index date to the date a patient underwent a procedure (e.g. surgical resection) to yield or remove from the patient a sample that was eventually used for research.,no,integer,,,,,,"one, two",,,days_to_sample_procurement,integer,no,,
14,sample,no,commpass,year_sample_procurement,The year component of the date that a subject underwent a procedure (e.g. surgical resection) to yield or remove from the patient a sample that was eventually used for research.,no,integer 4 digit,,,,,,"one, two",,,not applicable,not applicable,not applicable,,
16,sample,no,commpass,days_to_collection,The number of days to the date that the sample was received by the lab facility for processing from the the index date.,no,integer,,,,,,"one, two",,,days_to_collection,integer,no,,
17,sample,no,commpass,year_of_collection,The year component of the date that the sample was received by the lab facility for processing.,no,integer 4 digit,,,,,,"one, two",,,not applicable,not applicable,not applicable,,
19,sample,no,commpass,method_of_sample_procurement,The method used to procure the sample used to extract analyte(s).,no,enum,"bone_marrow_aspirate
peripheral_blood_draw","Note: MMRF added ""peripheral_blood_draw"" to GDC list as it is more specific.",,,,"one, two",,,method_of_sample_procurement,see sample details tab,no,,
1,sample_aliquots,primary,commpass,aliquot_id,Unique id for sample_aliquot  table,no,string,,,not applicable,not applicable,derived,"one,two","MMRF created for this dataset 
",not null,not applicable,not applicable,not applicable,,
2,sample_aliquots,foreign,commpass,public_id,MMRF subject identifier,no,string,example: mmrf_0001,"in the format: ""mmrf_"" followed by a four digit integer. Example: mmrf_0001",not applicable,not applicable,Subcohorts One and Two: Table: D_PT.csv variable: subject_id,"one,two","MMRF created for this dataset 
",not null,submitter_id,string,yes,,
3,sample_aliquots,foreign,commpass,project_id,The project's source name that is used as a primary key for the project table and as a foreign key for other tables.,no,string,mmrf_commpass,"The MMRF CoMMpass project will use ""mmrf_commpass"" to designate the project.",not applicable,not applicable,applied,"one, two","MMRF created for this dataset 
",not null,project_id,not applicable,no,,
4,sample_aliquots,no,commpass,sample_visit_id,A number describing the sequence in which the samplewas collected.,no,string,example: mmrf_0001_1,"An ""_"" and a number is appended to the public_id with the baseline visit for the study having an  ""_1"". The appended number increases with each subsequent visit resulting in a biospecimen collected from the subject. As such, subsequent visits with samples do not have the same type of visit [restaging, relapse, response]",not applicable,,,"one, two",,not null,sample_ordinal,integer,no,,
5,sample_aliquots,no,commpass,sample_visit_type,Identifier of based on the combination of sample_visit_id and specimen_type.,no,string,example: mmrf_1017_1_bma,A combination identifier with the institution identifier with sample_visit_id and specimen_type .,not applicable,not applicable,Not applicable; represents the MMRF CoMMpass study.,"one, two",,not null,not applicable,not applicable,not applicable,,
6,sample_aliquots,no,commpass,sample collection_event_name,The point in the subject's care that the sample was collected.,no,string,,,,,,,,,not applicable,not applicable,not applicable,,
8,sample_aliquots,no,commpass,aliquot_id_alt,An alternative identifier for the aliquot applied by the central laboratory.,no,string,,,,,,,,,,,,,
9,sample_aliquots,no,commpass,anatomic_site,"The type of a material sample taken from a biological entity for testing, diagnostic, propagation, treatment or research purposes. This includes particular types of cellular molecules, cells, tissues, organs, body fluids, embryos, and body excretory substances.",no,enum,"bone_ arrow
peripheral_blood",Data from TGEN,C70713,NCIt,,"one, two",,,specimen_type,see sample details tab,yes,,
10,sample_aliquots,no,commpass,tissue_type,Text term that represents a description of the kind of tissue collected with respect to disease status or proximity to tumor tissue.,no,enum,"constitutional
tumor
not_recorded",Data from TGEN,,,,"one, two",,,tissue_type,"Abnormal
Normal
Peritumoral
Tumor
Unknown
Not Reported",yes,,
11,sample_aliquots,no,commpass,purification,Text term that represents the name of the organ or tissue site of the submitted sample.,no,string,,Data from TGEN/Van Andel,,,,"one, two",,,tumor_descriptor,"Metastatic
New Primary
NOS
Premalignant
Primary
Recurrence
Xenograft
Unknown
Not Reported
Not Applicable",yes,,
12,sample_aliquots,no,commpass,material_type,Text that describes the kind of disease present in the tumor specimen as related to a specific timepoint.,no,enum,"cells
cfdna
dna
dry_pellet
plasma
rna",,,,,"one, two",,,biospecimen_anatomic_site,see sample details tab,no,,
13,sample_aliquots,no,commpass,aliquot_label,Text label describing aliquot,no,string,,,,,,,,,not applicable,not applicable,not applicable,,
14,sample_aliquots,no,commpass,aliquot_label_2,Text label describing aliquot,no,string,,,,,,,,,not applicable,not applicable,not applicable,,
1,sample_features,primary,commpass,sample_visit_id,Unique id for sample table.,no,string,example: mmrf_0001_1,"An ""_"" and a number is appended to the public_id with the baseline visit for the study having an  ""_1"". The appended number increases with each subsequent visit resulting in a biospecimen collected from the subject. ",not applicable,not applicable,,derived,"one,two",,,not_applicable,not_applicable,not_applicable,
2,sample_features,foreign,commpass,public_id,MMRF subject identifier,no,string,example: mmrf_0001,"in the format: ""mmrf_"" followed by a four digit integer. Example: mmrf_0001",not applicable,not applicable,,Subcohorts One and Two: Table: D_PT.csv variable: subject_id,"one,two","MMRF created for this dataset 
",,not_applicable,not_applicable,not_applicable,
3,sample_features,foreign,commpass,project_id,The project's source name that is used as a primary key for the project table and as a foreign key for other tables.,no,string,mmrf_commpass,"The MMRF CoMMpass project will use ""mmrf_commpass"" to designate the project.",not applicable,not applicable,,applied,"one, two","MMRF created for this dataset 
",,not_applicable,not_applicable,not_applicable,
4,sample_features,no,commpass,institution_subject_id,Identifier of the subject and institution through which the subject was enrolled.,no,string ,,"A combination identifier with the institution identifier with the subject identifier separated by a ""-"". Example 100-104.",not applicable,not applicable,Not applicable; represents the MMRF CoMMpass study.,"one,two",MMRF created for this dataset,not null,not applicable,not applicable,not applicable,,
5,sample_features,no,commpass,visit_name,The type of visit as identified by the institution on the CRF form.,no,enum,"baseline
confirm_progression_relapse
confirm_response_scr
other
pre_transplant
post_transplant
restaging_disease_status
not_recorded","An ""_"" and a number is appended to the public_id with the baseline visit for the study having an  ""_1"". The appended number increases with each subsequent visit resulting in a biospecimen collected from the subject. As such, subsequent visits with samples do not have the same type of visit [restaging, relapse, response]",not applicable,not_applicable,,,,,,not_applicable,not_applicable,not_applicable,
6,sample_features,no,commpass,ig_heavy_institution,The immunoglobulin heavy chain (IgH) that was reported by the subject's institution at the time of sample collection. Data sourced from processing lab lims system.,no,enum,"iga
ige
igg
igm
iga_igg
igg_igm
iga_ige_igm
not_recorded",Data analyses run by sample processing lab. Samples with blank entries for this variable were recoded to not_reported.,not_applicable,not_applicable,,,,,,not_applicable,not_applicable,not_applicable,
7,sample_features,no,commpass,ig_light_institution,The immunoglobulin light chain (IgL) that was reported by the subject's institution at the time of sample collection. Data sourced from processing lab lims system.,no,enum,"bi_clonal
kappa
lambda
not_recorded
unknown",Data analyses run by sample processing lab. Samples with blank entries for this variable were recoded to not_reported.,not_applicable,not_applicable,,,,,,not_applicable,not_applicable,not_applicable,
8,sample_features,no,commpass,morphology_plasma_cells_percent_in_bm,Percent plasma cells in bone marrow from morphology. Data sourced from processing lab lims system.,no,numeric,,Data analyses run by sample processing lab.,not_applicable,not_applicable,,,,,,not_applicable,not_applicable,not_applicable,
9,sample_features,no,commpass,flowcyt_plasma_cells_percent_in_bm_low,Percent plasma cells in bone marrow using flow cytology - Low. Data sourced from processing lab lims system.,no,numeric,,Data analyses run by sample processing lab.,not_applicable,not_applicable,,,,,,not_applicable,not_applicable,not_applicable,
10,sample_features,no,commpass,flowcyt_plasma_cells_percent_in_bm_high,Percent plasma cells in bone marrow using flow cytology - High. Data sourced from processing lab lims system.,no,numeric,,Data analyses run by sample processing lab.,not_applicable,not_applicable,,,,,,not_applicable,not_applicable,not_applicable,
11,sample_features,no,commpass,morphology_plasma_cells_percent_in_pb,Percent plasma cells in peripheral blood from morphology. Data sourced from processing lab lims system.,no,numeric,,Data analyses run by sample processing lab.,not_applicable,not_applicable,,,,,,not_applicable,not_applicable,not_applicable,
12,sample_features,no,commpass,flowcyt_plasma_cells_percent_in_pb_low,Percent plasma cells in peripheral blood using flow cytology - Low. Data sourced from processing lab lims system.,no,numeric,,Data analyses run by sample processing lab.,not_applicable,not_applicable,,,,,,not_applicable,not_applicable,not_applicable,
13,sample_features,no,commpass,flowcyt_plasma_cells_percent_in_pb_high,Percent plasma cells in peripheral blood using flow cytology - High. Data sourced from processing lab lims system.,no,numeric,,Data analyses run by sample processing lab.,not_applicable,not_applicable,,,,,,not_applicable,not_applicable,not_applicable,
14,sample_features,no,commpass,flowcyt_cd38_detected,Flow cytometry antigen profile: CD38 detected. Data sourced from processing lab lims system.,no,string,,Data analyses run by sample processing lab.,not_applicable,not_applicable,,,,,,not_applicable,not_applicable,not_applicable,
15,sample_features,no,commpass,flowcyt_cd38_plasma_cells_percent,Flow cytometry antigen profile: CD38 Percent plasma cells. Data sourced from processing lab lims system.,no,numeric,,Data analyses run by sample processing lab.,not_applicable,not_applicable,,,,,,not_applicable,not_applicable,not_applicable,
16,sample_features,no,commpass,flowcyt_cd38_description,Flow cytometry antigen profile: CD38 Description. Data sourced from processing lab lims system.,no,string,,Data analyses run by sample processing lab.,not_applicable,not_applicable,,,,,,not_applicable,not_applicable,not_applicable,
17,sample_features,no,commpass,flowcyt_cd138_detected,Flow cytometry antigen profile: CD138 Detected. Data sourced from processing lab lims system.,no,string,,Data analyses run by sample processing lab.,not_applicable,not_applicable,,,,,,not_applicable,not_applicable,not_applicable,
18,sample_features,no,commpass,flowcyt_cd138_plasma_cells_percent,Flow cytometry antigen profile: CD138 Percent plasma cells. Data sourced from processing lab lims system.,no,numeric,,Data analyses run by sample processing lab.,not_applicable,not_applicable,,,,,,not_applicable,not_applicable,not_applicable,
19,sample_features,no,commpass,flowcyt_cd138_description,Flow cytometry antigen profile: CD138 Description. Data sourced from processing lab lims system.,no,string,,Data analyses run by sample processing lab.,not_applicable,not_applicable,,,,,,not_applicable,not_applicable,not_applicable,
20,sample_features,no,commpass,flowcyt_cd45_plasma_cells_typical_detected,Flow cytometry antigen profile: CD45 Typical Detected. Data sourced from processing lab lims system.,no,string,,Data analyses run by sample processing lab.,not_applicable,not_applicable,,,,,,not_applicable,not_applicable,not_applicable,
21,sample_features,no,commpass,flowcyt_cd45_plasma_cells_percent,Flow cytometry antigen profile: CD45 Percent plasma cells. Data sourced from processing lab lims system.,no,numeric,,Data analyses run by sample processing lab.,not_applicable,not_applicable,,,,,,not_applicable,not_applicable,not_applicable,
22,sample_features,no,commpass,flowcyt_cd45_description,Flow cytometry antigen profile: CD45 Description. Data sourced from processing lab lims system.,no,string,,Data analyses run by sample processing lab.,not_applicable,not_applicable,,,,,,not_applicable,not_applicable,not_applicable,
23,sample_features,no,commpass,flowcyt_cd56_detected,Flow cytometry antigen profile: CD56 Detected. Data sourced from processing lab lims system.,no,string,,Data analyses run by sample processing lab.,not_applicable,not_applicable,,,,,,not_applicable,not_applicable,not_applicable,
24,sample_features,no,commpass,flowcyt_cd56_plasma_cells_percent,Flow cytometry antigen profile: CD56 Percent plasma cells. Data sourced from processing lab lims system.,no,numeric,,Data analyses run by sample processing lab.,not_applicable,not_applicable,,,,,,not_applicable,not_applicable,not_applicable,
25,sample_features,no,commpass,flowcyt_cd56_description,Flow cytometry antigen profile: CD56 Description. Data sourced from processing lab lims system.,no,string,,Data analyses run by sample processing lab.,not_applicable,not_applicable,,,,,,not_applicable,not_applicable,not_applicable,
26,sample_features,no,commpass,flowcyt_cd13_detected,Flow cytometry antigen profile: CD13 Detected. Data sourced from processing lab lims system.,no,string,,Data analyses run by sample processing lab.,not_applicable,not_applicable,,,,,,not_applicable,not_applicable,not_applicable,
27,sample_features,no,commpass,flowcyt_cd13_plasma_cells_percent,Flow cytometry antigen profile: CD13 Percent plasma cells. Data sourced from processing lab lims system.,no,numeric,,Data analyses run by sample processing lab.,not_applicable,not_applicable,,,,,,not_applicable,not_applicable,not_applicable,
28,sample_features,no,commpass,flowcyt_cd19_detected,Flow cytometry antigen profile: CD19 Detected. Data sourced from processing lab lims system.,no,string,,Data analyses run by sample processing lab.,not_applicable,not_applicable,,,,,,not_applicable,not_applicable,not_applicable,
29,sample_features,no,commpass,flowcyt_cd19_plasma_cells_percent,Flow cytometry antigen profile: CD19 Percent plasma cells. Data sourced from processing lab lims system.,no,numeric,,Data analyses run by sample processing lab.,not_applicable,not_applicable,,,,,,not_applicable,not_applicable,not_applicable,
30,sample_features,no,commpass,flowcyt_cd20_detected,Flow cytometry antigen profile: CD20 Detected. Data sourced from processing lab lims system.,no,string,,Data analyses run by sample processing lab.,not_applicable,not_applicable,,,,,,not_applicable,not_applicable,not_applicable,
31,sample_features,no,commpass,flowcyt_cd20_plasma_cells_percent,Flow cytometry antigen profile: CD20 Percent plasma cells. Data sourced from processing lab lims system.,no,numeric,,Data analyses run by sample processing lab.,not_applicable,not_applicable,,,,,,not_applicable,not_applicable,not_applicable,
32,sample_features,no,commpass,flowcyt_cd27_detected,Flow cytometry antigen profile: CD27 Detected. Data sourced from processing lab lims system.,no,string,,Data analyses run by sample processing lab.,not_applicable,not_applicable,,,,,,not_applicable,not_applicable,not_applicable,
33,sample_features,no,commpass,flowcyt_cd27_plasma_cells_percent,Flow cytometry antigen profile: CD27 Percent plasma cells. Data sourced from processing lab lims system.,no,numeric,,Data analyses run by sample processing lab.,not_applicable,not_applicable,,,,,,not_applicable,not_applicable,not_applicable,
34,sample_features,no,commpass,flowcyt_cd28_detected,Flow cytometry antigen profile: CD28 Detected. Data sourced from processing lab lims system.,no,string,,Data analyses run by sample processing lab.,not_applicable,not_applicable,,,,,,not_applicable,not_applicable,not_applicable,
35,sample_features,no,commpass,flowcyt_cd28_plasma_cells_percent,Flow cytometry antigen profile: CD28 Percent plasma cells. Data sourced from processing lab lims system.,no,numeric,,Data analyses run by sample processing lab.,not_applicable,not_applicable,,,,,,not_applicable,not_applicable,not_applicable,
36,sample_features,no,commpass,flowcyt_cd33_detected,Flow cytometry antigen profile: CD33 Detected. Data sourced from processing lab lims system.,no,string,,Data analyses run by sample processing lab.,not_applicable,not_applicable,,,,,,not_applicable,not_applicable,not_applicable,
37,sample_features,no,commpass,flowcyt_cd33_plasma_cells_percent,Flow cytometry antigen profile: CD33 Percent plasma cells. Data sourced from processing lab lims system.,no,numeric,,Data analyses run by sample processing lab.,not_applicable,not_applicable,,,,,,not_applicable,not_applicable,not_applicable,
38,sample_features,no,commpass,flowcyt_cd52_detected,Flow cytometry antigen profile: CD52 Detected. Data sourced from processing lab lims system.,no,string,,Data analyses run by sample processing lab.,not_applicable,not_applicable,,,,,,not_applicable,not_applicable,not_applicable,
39,sample_features,no,commpass,flowcyt_cd52_plasma_cells_percent,Flow cytometry antigen profile: CD52 Percent plasma cells. Data sourced from processing lab lims system.,no,numeric,,Data analyses run by sample processing lab.,not_applicable,not_applicable,,,,,,not_applicable,not_applicable,not_applicable,
